Date,Type,Country,Activity,Sex ,Age,Injury,Fatal (Y/N),Species,Fatality,Country_value,Sex_value
4-Nov-22,Unprovoked,USA,Swimming,F,50,Shallow punctures & lacerations to right thigh,N,White shark,0.0,1.0,1.0
3-Nov-22,Provoked,USA,Fishing,M,29,Right knee & thigh bitten by hooked shark,N,,0.0,1.0,0.0
31-Oct-22,Unprovoked,USA,Surfing,M,,Minor inury from shark's fin,N,,0.0,1.0,0.0
28-Oct-22,Unprovoked,BAHAMAS,Diving,M,,Torso bitten,N,,0.0,6.0,0.0
27-Oct-22,Provoked,USA,Fishing,M,,Minor injuries,N,Medium shark,0.0,1.0,0.0
25-Oct-22,Unprovoked,USA,Snorkeling,M,51,"No injury, swim fin bitten",N,Tiger shark,0.0,1.0,0.0
23-Oct-22,Unprovoked,AUSTRALIA,Surf skiing ,M,19,"No injury, ski holed by shark",N,Small shark,0.0,2.0,0.0
10-Oct-22,Provoked,USA,Fishing,M,15,Minor injury to leg by hooked shark,N,Nurse shark,0.0,1.0,0.0
8-Oct-22,Unprovoked,USA,Shipwreck,M,40,Hand bitten,N,,0.0,1.0,0.0
7-Oct-22,Unprovoked,AUSTRALIA,Spearfishing,M,38,"Multiple injuries to left shoulder, arm and hand",N,Bull shark,0.0,2.0,0.0
6-Oct-22,Unprovoked,AUSTRALIA,Surfing,M,17,Lacerations to foot,N,,0.0,2.0,0.0
2-Oct-22,Unprovoked,USA,Surfing,M,31,Thigh injured,N,White shark,0.0,1.0,0.0
25-Sep-22,Unprovoked,SOUTH AFRICA,Swimming,F,39,FATAL,Y,White shark,1.0,3.0,1.0
6-Sep-22,Unprovoked,BAHAMAS,Snorkeling,F,58,FATAL,Y,Bull shark,1.0,6.0,1.0
3-Sep-22,Unprovoked,USA,Swimming  or Snorkeling,F,51,Injuries to left arm and right hand,N,,0.0,1.0,1.0
31-Aug-22,Unprovoked,AUSTRALIA,Surfing,M,14,Puncture wounds to right hand & forearm,N,Bronze whaler shark,0.0,2.0,0.0
17-Aug-22,Unprovoked,AUSTRALIA,Kayaking,M,,"No injury, kayak bitten in half",N,White shark,0.0,2.0,0.0
